sample_name	index	round	extraction_kit	extraction_kit_round	extraction_kit_id	extraction_vendor	bead_beating	incubation	biomass_plate	biomass_sample	storage_solution	swab_type	sample_number	sample_technical_replicate	sample_type	sample_type_1	sample_type_2	sample_type_3	unique_sample_id	collection_timestamp	description	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	fresh_frozen	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_mass_index	host_body_product	host_body_site	host_common_name	host_height	host_height_units	host_life_stage	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	sex	latitude	longitude	physical_specimen_location	physical_specimen_remaining	dna_extracted	gdna_well_id	dna_conc_ng_ul	qc_16s_concentration	qc_230	qc_260	qc_260_230	qc_260_280	qc_280	qc_blank_230	qc_blank_260	qc_blank_280	qc_blank_320	qc_raw_230	qc_raw_260	qc_raw_280	qc_raw_320	qiita_study_id	scientific_name	taxon_id	title
12201.be.k.A.2.2.homebrew.L	not applicable	1	Homebrew	Homebrew	homebrew	Homebrew	not applicable	not applicable	low	low	not applicable	not applicable	4	not applicable	built environment	not applicable	keyboard	keyboard_A2	built_environment.keyboard.A_2.2	1/16/19	Subject A's external keyboard swabbed for 15 s	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	anthropogenic environmental material	built environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	built keyboard.A.2	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	TRUE	A8	5.991	54.41	0.004	0.006	1.621	2.611	0.002	0.053	0.044	0.042	0.04	0.059	0.053	0.048	0.044	12201	indoor metagenome	1256227	Knight sample set for testing
12201.be.k.A.2.3.homebrew.L	not applicable	1	Homebrew	Homebrew	homebrew	Homebrew	not applicable	not applicable	low	low	not applicable	not applicable	4	not applicable	built environment	not applicable	keyboard	keyboard_A2	built_environment.keyboard.A_2.3	1/16/19	Subject A's external keyboard swabbed for 15 s	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	anthropogenic environmental material	built environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	built keyboard.A.2	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	TRUE	B8	1.921	13.24	0.003	0.002	0.714	1.5	0.001	0.053	0.044	0.042	0.04	0.056	0.047	0.045	0.042	12201	indoor metagenome	1256227	Knight sample set for testing
12201.BLANK.B4.homebrew.L	not applicable	1	Homebrew	Homebrew	homebrew	Homebrew	not applicable	not applicable	low	not applicable	not applicable	not applicable	not applicable	not applicable	control blank	not applicable	PCR extraction control	PCR extraction control	BLANK.B4	2019	BLANK.B4.homebrew.L	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK.B4.homebrew.L	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	TRUE	B4	2.945	14.29	0.003	0.003	1.095	2.3	0.001	0.053	0.044	0.042	0.04	0.057	0.049	0.046	0.043	12201	metagenome	256318	Knight sample set for testing
12201.BLANK.C4.homebrew.H	not applicable	1	Homebrew	Homebrew	homebrew	Homebrew	not applicable	not applicable	high	not applicable	not applicable	not applicable	not applicable	not applicable	control blank	not applicable	PCR extraction control	PCR extraction control	BLANK.C4	2019	BLANK.C4.homebrew.H	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK.C4.homebrew.H	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	TRUE	C4	3.988	25.32	0	0.004	-10.333	1.722	0.002	0.053	0.044	0.042	0.04	0.05	0.046	0.043	0.039	12201	metagenome	256318	Knight sample set for testing
12201.BLANK.C7.homebrew.H	not applicable	1	Homebrew	Homebrew	homebrew	Homebrew	not applicable	not applicable	high	not applicable	not applicable	not applicable	not applicable	not applicable	control blank	not applicable	PCR extraction control	PCR extraction control	BLANK.C7	2019	BLANK.C7.homebrew.H	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK.C7.homebrew.H	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	TRUE	C7	1.925	10.47	0.001	0.002	3	1.5	0.001	0.053	0.044	0.042	0.04	0.056	0.049	0.047	0.044	12201	metagenome	256318	Knight sample set for testing
12201.BLANK.C8.homebrew.L	not applicable	1	Homebrew	Homebrew	homebrew	Homebrew	not applicable	not applicable	low	not applicable	not applicable	not applicable	not applicable	not applicable	control blank	not applicable	PCR extraction control	PCR extraction control	BLANK.C8	2019	BLANK.C8.homebrew.L	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK.C8.homebrew.L	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	TRUE	C8	0.901	10.8	0.001	0.001	1.4	0.7	0.001	0.053	0.044	0.042	0.04	0.053	0.045	0.044	0.041	12201	metagenome	256318	Knight sample set for testing
12201.BLANK.D10.homebrew.H	not applicable	1	Homebrew	Homebrew	homebrew	Homebrew	not applicable	not applicable	high	not applicable	not applicable	not applicable	not applicable	not applicable	control blank	not applicable	PCR extraction control	PCR extraction control	BLANK.D10	2019	BLANK.D10.homebrew.H	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK.D10.homebrew.H	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	TRUE	D10	11.174	9.29	0.006	0.011	1.933	2.071	0.005	0.053	0.044	0.042	0.04	0.058	0.055	0.048	0.041	12201	metagenome	256318	Knight sample set for testing
12201.BLANK.E6.homebrew.L	not applicable	1	Homebrew	Homebrew	homebrew	Homebrew	not applicable	not applicable	low	not applicable	not applicable	not applicable	not applicable	not applicable	control blank	not applicable	PCR extraction control	PCR extraction control	BLANK.E6	2019	BLANK.E6.homebrew.L	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK.E6.homebrew.L	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	TRUE	E6	3.994	11.36	0.003	0.004	1.476	1.722	0.002	0.053	0.044	0.042	0.04	0.057	0.05	0.047	0.043	12201	metagenome	256318	Knight sample set for testing
12201.BLANK.G1.homebrew.L	not applicable	1	Homebrew	Homebrew	homebrew	Homebrew	not applicable	not applicable	low	not applicable	not applicable	not applicable	not applicable	not applicable	control blank	not applicable	PCR extraction control	PCR extraction control	BLANK.G1	2019	BLANK.G1.homebrew.L	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK.G1.homebrew.L	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	TRUE	G1	5.158	18.38	0.004	0.005	1.345	1.147	0.004	0.053	0.044	0.042	0.04	0.058	0.051	0.049	0.043	12201	metagenome	256318	Knight sample set for testing
12201.BLANK.H1.homebrew.H	not applicable	1	Homebrew	Homebrew	homebrew	Homebrew	not applicable	not applicable	high	not applicable	not applicable	not applicable	not applicable	not applicable	control blank	not applicable	PCR extraction control	PCR extraction control	BLANK.H1	2019	BLANK.H1.homebrew.H	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK.H1.homebrew.H	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	TRUE	H1	0.935	12.1	0.001	0.001	1.4	0.7	0.001	0.053	0.044	0.042	0.04	0.051	0.043	0.042	0.039	12201	metagenome	256318	Knight sample set for testing
12201.BLANK.H7.homebrew.L	not applicable	1	Homebrew	Homebrew	homebrew	Homebrew	not applicable	not applicable	low	not applicable	not applicable	not applicable	not applicable	not applicable	control blank	not applicable	PCR extraction control	PCR extraction control	BLANK.H7	2019	BLANK.H7.homebrew.L	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK.H7.homebrew.L	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	TRUE	H7	5.212	22.44	0.003	0.005	1.857	1.5	0.003	0.053	0.044	0.042	0.04	0.054	0.048	0.045	0.04	12201	metagenome	256318	Knight sample set for testing
12201.BLANK.H9.homebrew.L	not applicable	1	Homebrew	Homebrew	homebrew	Homebrew	not applicable	not applicable	low	not applicable	not applicable	not applicable	not applicable	not applicable	control blank	not applicable	PCR extraction control	PCR extraction control	BLANK.H9	2019	BLANK.H9.homebrew.L	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK.H9.homebrew.L	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	TRUE	H9	4.143	11.42	0.003	0.004	1.476	1.722	0.002	0.053	0.044	0.042	0.04	0.056	0.049	0.046	0.042	12201	metagenome	256318	Knight sample set for testing
12201.food.kimchi.1.1.homebrew.H	not applicable	1	Homebrew	Homebrew	homebrew	Homebrew	not applicable	not applicable	high	high	not applicable	not applicable	3	not applicable	food	not applicable	kimchi	kimchi_container_1	food.kimchi.1.1	1/16/19	King's kimchi Korean marinated cabbage spicy (397 g jar)	193	Free-living	Non-saline	Surface (non-saline)	urban biome	fermented food product	fermented food product	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	food.kimchi.1	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	TRUE	C11	11.163	71.88	0.011	0.011	1.024	2.071	0.005	0.053	0.044	0.042	0.04	0.066	0.058	0.051	0.044	12201	food fermentation metagenome	1154581	Knight sample set for testing
12201.food.kimchi.1.2.homebrew.H	not applicable	1	Homebrew	Homebrew	homebrew	Homebrew	not applicable	not applicable	high	high	not applicable	not applicable	3	not applicable	food	not applicable	kimchi	kimchi_container_1	food.kimchi.1.2	1/16/19	King's kimchi Korean marinated cabbage spicy (397 g jar)	193	Free-living	Non-saline	Surface (non-saline)	urban biome	fermented food product	fermented food product	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	food.kimchi.1	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	TRUE	D11	11.168	95.09	0.019	0.011	0.584	1.74	0.006	0.053	0.044	0.042	0.04	0.071	0.055	0.049	0.041	12201	food fermentation metagenome	1154581	Knight sample set for testing
12201.food.kimchi.1.3.homebrew.H	not applicable	1	Homebrew	Homebrew	homebrew	Homebrew	not applicable	not applicable	high	high	not applicable	not applicable	3	not applicable	food	not applicable	kimchi	kimchi_container_1	food.kimchi.1.3	1/16/19	King's kimchi Korean marinated cabbage spicy (397 g jar)	193	Free-living	Non-saline	Surface (non-saline)	urban biome	fermented food product	fermented food product	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	food.kimchi.1	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	TRUE	E11	9.166	97.61	0.01	0.009	0.922	2.088	0.004	0.053	0.044	0.042	0.04	0.063	0.054	0.048	0.042	12201	food fermentation metagenome	1154581	Knight sample set for testing
12201.food.kimchi.2.1.homebrew.H	not applicable	1	Homebrew	Homebrew	homebrew	Homebrew	not applicable	not applicable	high	high	not applicable	not applicable	4	not applicable	food	not applicable	kimchi	kimchi_container_2	food.kimchi.2.1	1/16/19	King's kimchi Korean marinated cabbage spicy (397 g jar)	193	Free-living	Non-saline	Surface (non-saline)	urban biome	fermented food product	fermented food product	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	food.kimchi.2	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	TRUE	F11	4.047	67.36	0.007	0.004	0.585	1.722	0.002	0.053	0.044	0.042	0.04	0.059	0.048	0.045	0.041	12201	food fermentation metagenome	1154581	Knight sample set for testing
12201.food.kimchi.2.2.homebrew.H	not applicable	1	Homebrew	Homebrew	homebrew	Homebrew	not applicable	not applicable	high	high	not applicable	not applicable	4	not applicable	food	not applicable	kimchi	kimchi_container_2	food.kimchi.2.2	1/16/19	King's kimchi Korean marinated cabbage spicy (397 g jar)	193	Free-living	Non-saline	Surface (non-saline)	urban biome	fermented food product	fermented food product	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	food.kimchi.2	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	TRUE	G11	4.1	126.86	0.007	0.004	0.585	1.722	0.002	0.053	0.044	0.042	0.04	0.059	0.048	0.045	0.041	12201	food fermentation metagenome	1154581	Knight sample set for testing
12201.food.kimchi.2.3.homebrew.H	not applicable	1	Homebrew	Homebrew	homebrew	Homebrew	not applicable	not applicable	high	high	not applicable	not applicable	4	not applicable	food	not applicable	kimchi	kimchi_container_2	food.kimchi.2.3	1/16/19	King's kimchi Korean marinated cabbage spicy (397 g jar)	193	Free-living	Non-saline	Surface (non-saline)	urban biome	fermented food product	fermented food product	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	food.kimchi.2	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	TRUE	H11	7.35	84.67	0.008	0.007	0.902	2.115	0.003	0.053	0.044	0.042	0.04	0.059	0.05	0.045	0.04	12201	food fermentation metagenome	1154581	Knight sample set for testing
12201.food.yogurt.1.1.homebrew.H	not applicable	1	Homebrew	Homebrew	homebrew	Homebrew	not applicable	not applicable	high	high	not applicable	not applicable	1	not applicable	food	not applicable	yogurt	yogurt_container_1	food.yogurt.1.1	1/16/19	Chobani non-fat plain greek yogurt (150g)	193	Free-living	Non-saline	Surface (non-saline)	urban biome	dairy product	fermented dairy product	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	food.yogurt.1	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	TRUE	E10	11.209	30.83	0.009	0.011	1.261	2.071	0.005	0.053	0.044	0.042	0.04	0.062	0.056	0.049	0.042	12201	food fermentation metagenome	1154581	Knight sample set for testing
12201.food.yogurt.1.2.homebrew.H	not applicable	1	Homebrew	Homebrew	homebrew	Homebrew	not applicable	not applicable	high	high	not applicable	not applicable	1	not applicable	food	not applicable	yogurt	yogurt_container_1	food.yogurt.1.2	1/16/19	Chobani non-fat plain greek yogurt (150g)	193	Free-living	Non-saline	Surface (non-saline)	urban biome	dairy product	fermented dairy product	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	food.yogurt.1	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	TRUE	F10	11.288	79.94	0.011	0.011	1.024	2.071	0.005	0.053	0.044	0.042	0.04	0.063	0.055	0.048	0.041	12201	food fermentation metagenome	1154581	Knight sample set for testing
12201.food.yogurt.1.3.homebrew.H	not applicable	1	Homebrew	Homebrew	homebrew	Homebrew	not applicable	not applicable	high	high	not applicable	not applicable	1	not applicable	food	not applicable	yogurt	yogurt_container_1	food.yogurt.1.3	1/16/19	Chobani non-fat plain greek yogurt (150g)	193	Free-living	Non-saline	Surface (non-saline)	urban biome	dairy product	fermented dairy product	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	food.yogurt.1	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	TRUE	G10	11.559	90.26	0.011	0.012	1.024	1.74	0.007	0.053	0.044	0.042	0.04	0.064	0.056	0.05	0.042	12201	food fermentation metagenome	1154581	Knight sample set for testing
12201.food.yogurt.2.1.homebrew.H	not applicable	1	Homebrew	Homebrew	homebrew	Homebrew	not applicable	not applicable	high	high	not applicable	not applicable	2	not applicable	food	not applicable	yogurt	yogurt_container_2	food.yogurt.2.1	1/16/19	Chobani non-fat plain greek yogurt (150g)	193	Free-living	Non-saline	Surface (non-saline)	urban biome	dairy product	fermented dairy product	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	food.yogurt.2	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	TRUE	H10	15.671	110	0.023	0.016	0.688	1.803	0.009	0.053	0.044	0.042	0.04	0.075	0.06	0.052	0.042	12201	food fermentation metagenome	1154581	Knight sample set for testing
